id;nom;infobulle;commentaire;description
1;Zimbabwe;Bedfordshire;application scale;indigo National
2;Expressway;Tools Street;Arkansas reciprocal;Mountain Malaysia supply-chains
3;Borders hack;Pants;Tasty navigate didactic;payment schemas Industrial
4;calculating;withdrawal Toys white;olive;Kids Incredible
5;Florida THX Idaho;Licensed Visionary pixel;neural Markets Branding;maroon
6;superstructure;Kids;microchip;Music Salad North Carolina
7;circuit Forward;frictionless solution-oriented;distributed Computers;Money Market Account users Guinea
8;SQL lavender;transmit Wooden COM;Agent Squares;supply-chains
9;Bedfordshire;Peru withdrawal Down-sized;invoice;Liaison Tonga
10;Lari;Sports Global Soft;Bedfordshire Awesome Cotton Tuna;calculating yellow
