id;nom;description;id_task;id_process
1;withdrawal Jamaica;International;Luxembourg Spurs;empower Home Loan Account SMS
2;back-end Via indexing;Business-focused Canyon Orchestrator;frictionless orchid;Future-proofed Awesome
3;Creek;Shirt Metal;Mouse Rupiah;Human Mission
4;Officer Savings Account Automated;Pants even-keeled Chair;Brazil;Island cyan
5;Granite open architecture;Ergonomic Soft Shoes;Bulgarian Lev Cambridgeshire;Regional
6;Home;primary quantify Chips;Guyana;Bedfordshire Auto Loan Account back-end
7;monitor Small Wooden Ball;feed;connecting generate Music;Inlet Hungary Configurable
8;interface;Toys;overriding;internet solution
9;Total;Investment Account Indian Rupee;withdrawal Club Nebraska;Nevada quantify architectures
10;empower;customized payment;Grass-roots Cambridgeshire;Personal Loan Account
