id;nom;description;type
1;system-worthy portal;Belize Dollar Sudanese Pound real-time;WebApp
2;Synergistic Personal Loan Account Sleek;Borders;PF
3;California interfaces;Garden Dale Wallis and Futuna;RBexe
4;Assimilated;compressing;RBexe
5;composite Orchestrator Club;Intelligent Granite Shirt Peru deposit;PF
6;morph content bypass;Electronics;PF
7;Corporate;Enterprise-wide Benin;RBurl
8;payment e-markets system;Organic;WebApp
9;Small;Incredible Fresh Chips;RBexe
10;e-business Light;integrate Personal Loan Account;PF
